#1
double	presence(8760,2)
6040800	1.0
6044400	1.0
6048000	1.0
6051600	1.0
6055200	1.0
6058800	1.0
6062400	1.0
6066000	1.0
6069600	0.862
6073200	0.621
6076800	0.483
6080400	0.172
6084000	0.207
6087600	0.172
6091200	0.345
6094800	0.517
6098400	0.345
6102000	0.379
6105600	0.345
6109200	0.448
6112800	0.483
6116400	0.69
6120000	0.862
6123600	0.862
6127200	1.0
6130800	1.0
6134400	1.0
6138000	1.0
6141600	1.0
6145200	1.0
6148800	1.0
6152400	1.0
6156000	0.862
6159600	0.621
6163200	0.483
6166800	0.172
6170400	0.207
6174000	0.172
6177600	0.345
6181200	0.517
6184800	0.345
6188400	0.379
6192000	0.345
6195600	0.448
6199200	0.483
6202800	0.69
6206400	0.862
6210000	0.862
6213600	1.0
6217200	1.0
6220800	0.996
6224400	0.996
6228000	0.996
6231600	1.0
6235200	1.0
6238800	0.996
6242400	0.822
6246000	0.724
6249600	0.655
6253200	0.552
6256800	0.448
6260400	0.31
6264000	0.586
6267600	0.655
6271200	0.552
6274800	0.483
6278400	0.448
6282000	0.483
6285600	0.517
6289200	0.69
6292800	0.759
6296400	0.793
6300000	0.793
6303600	0.966
6307200	0.996
6310800	0.996
6314400	1.0
6318000	1.0
6321600	1.0
6325200	0.996
6328800	0.822
6332400	0.724
6336000	0.655
6339600	0.552
6343200	0.448
6346800	0.31
6350400	0.586
6354000	0.655
6357600	0.552
6361200	0.483
6364800	0.448
6368400	0.483
6372000	0.517
6375600	0.69
